map:159
grid23	-7399.0	3868.0
grid23	-7402.0	3868.0
grid23	-7402.0	3866.0
grid23	-7404.0	3866.0
grid23	-7404.0	3866.0
grid23	-7406.0	3862.0
grid23	-7411.0	3862.0
grid23	-7412.0	3871.0
grid23	-7417.0	3871.0
grid23	-7417.0	3887.0
NA	NA	NA
grid24	-7147.0	3446.0
grid24	-7144.0	3447.0
grid24	-7141.0	3456.0
grid24	-7125.0	3447.0
grid24	-7125.0	3443.0
grid24	-7124.0	3441.0
grid24	-7124.0	3440.0
grid24	-7125.0	3437.0
grid24	-7125.0	3435.0
grid24	-7124.0	3434.0
grid24	-7126.0	3430.0
grid24	-7126.0	3426.0
grid24	-7127.0	3426.0
grid24	-7128.0	3424.0
grid24	-7129.0	3423.0
grid24	-7130.0	3422.0
grid24	-7133.0	3423.0
grid24	-7134.0	3422.0
grid24	-7134.0	3419.0
grid24	-7136.0	3417.0
grid24	-7136.0	3416.0
grid24	-7136.0	3412.0
grid24	-7136.0	3403.0
grid24	-7134.0	3399.0
